file_name,page_count,pages_with_text,empty_or_image_only_pages,character_count,output_file,extraction_status,error_message
001_barclays_plc_annual_report_2025.pdf,494,494,0,3374218,001_barclays_plc_annual_report_2025.txt,Success,
002_hsbc_holdings_plc_annual_report_2025.pdf,372,370,2,2960156,002_hsbc_holdings_plc_annual_report_2025.txt,Success,
003_lloyds_banking_group_plc_annual_report_2025.pdf,327,327,0,2216103,003_lloyds_banking_group_plc_annual_report_2025.txt,Success,
004_natwest_group_plc_annual_report_2025.pdf,436,435,1,3054471,004_natwest_group_plc_annual_report_2025.txt,Success,
005_standard_chartered_plc_annual_report_2025.pdf,481,481,0,2929081,005_standard_chartered_plc_annual_report_2025.txt,Success,
006_aviva_plc_annual_report_2025.pdf,340,340,0,3030552,006_aviva_plc_annual_report_2025.txt,Success,
007_legal_and_general_group_plc_annual_report_2025.pdf,259,259,0,1714464,007_legal_and_general_group_plc_annual_report_2025.txt,Success,
008_m_and_g_plc_annual_report_2025.pdf,345,345,0,1776418,008_m_and_g_plc_annual_report_2025.txt,Success,
009_admiral_group_plc_annual_report_2025.pdf,336,336,0,1527607,009_admiral_group_plc_annual_report_2025.txt,Success,
010_aj_bell_plc_annual_report_2025.pdf,168,168,0,1119921,010_aj_bell_plc_annual_report_2025.txt,Success,
011_ig_group_holdings_plc_annual_report_2025.pdf,184,184,0,1251935,011_ig_group_holdings_plc_annual_report_2025.txt,Success,
012_cmc_markets_plc_annual_report_2025.pdf,133,133,0,978966,012_cmc_markets_plc_annual_report_2025.txt,Success,
013_integrafin_holdings_plc_annual_report_2025.pdf,144,144,0,839474,013_integrafin_holdings_plc_annual_report_2025.txt,Success,
014_wise_plc_annual_report_2025.pdf,172,172,0,939378,014_wise_plc_annual_report_2025.txt,Success,
015_cab_payments_holdings_plc_annual_report_2025.pdf,208,207,1,1155341,015_cab_payments_holdings_plc_annual_report_2025.txt,Success,
016_funding_circle_holdings_plc_annual_report_2025.pdf,196,196,0,1016403,016_funding_circle_holdings_plc_annual_report_2025.txt,Success,
017_boku_inc_annual_report_2025.pdf,115,115,0,404614,017_boku_inc_annual_report_2025.txt,Success,
018_paypoint_plc_annual_report_2025.pdf,170,169,1,1044037,018_paypoint_plc_annual_report_2025.txt,Success,
019_london_stock_exchange_group_plc_annual_report_2025.pdf,204,204,0,1318733,019_london_stock_exchange_group_plc_annual_report_2025.txt,Success,
020_experian_plc_annual_report_2025.pdf,248,248,0,1520942,020_experian_plc_annual_report_2025.txt,Success,
